index,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,maxAge,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn
DHR,,7.714,,0.21841,23.586,0.20593548,,10.94,,714577024,-,,,58.6,4313818,0.006,,1640908800,0.80846,6183000064,8.617,0.21,0.18703341,5.0009384,0.1114,1703980800,,1640908800,1.47,2021-12-15,642377450,0.701976,227207856128,2,,2016-07-05,1319:1000,,2021-12-29,,0.442,,1642118400,1.63,,26.787477,1,,0.0068,4869263,,,
DRI,,2.672,,0.107250005,17.201,0.11422658,,8.45,,127724000,-,,,19.821,3310305,0.025899999,,1622332800,0.93498003,923299968,6.995,1.1,0.18703341,7.1368756,0.0039399997,1685404800,,1638057600,2.74,2021-12-15,127137425,1.446528,22957711360,2,,2015-11-10,10000:8939,,2022-01-07,,1.012,,1642118400,0.62,,16.74083,1,,0.0292,3017928,,,
DVA,,2.039,,0.08331,9.703,-0.012580335,,8.38,,101900000,-,,,11.145,3193472,0.0313,,1609372800,0.88278,984382976,8.563,,0.18703341,9.952893,0.0305,1672444800,,1632960000,4.58,2021-12-15,98815487,1.237709,23615698944,2,,2013-09-09,2:1,,-,,0.637,,1642118400,0.88,,13.236874,1,,0.048800003,3107954,,,
DE,,3.574,,0.13566,17.378,0.25483167,,25.2,,308196992,-,,,59.828,2099593,0.0068,,1635638400,0.77917,5962999808,18.99,1.05,0.18703341,6.253092,0.00139,1698710400,,1635638400,1.24,2021-12-15,280542960,1.056259,157101096960,2,,2007-12-04,2:1,,2021-12-30,,0.693,,1642118400,1.33,,14.8456335,1,,0.0068,2164765,,,
DAL,,1.662,,0.00936,-76.077,0.017848134,,5.71,,640014016,-,,,5.705,19801297,0.0309,,1640908800,0.64219004,280000000,0.44,0.403,0.18703341,7.0920243,0.00332,1703980800,,1640908800,1.52,2021-12-15,634407410,1.298023,49678528512,2,,-,,,2020-02-19,,,,1642118400,-0.86,,7.085814,1,,0.0346,22089976,,,
XRAY,,3.192,,0.09847,13.495,-0.028001487,,3.19,,218607008,-,,,23.431,3372382,0.0154,,1609372800,0.99896,418000000,1.902,0.11,0.18703341,2.287141,0.00352,1672444800,,1632960000,2.15,2021-12-15,217632039,0.938672,13549218816,2,,2006-07-18,2:1,,2021-12-30,,0.943,,1642118400,0.71,,16.799374,1,,0.0174,2363353,,,
DVN,,3.746,,0.11572,11.122,1.887912,,5.37,,677000000,-,,,13.182,17182076,0.0254,,1609372800,0.90205,1218000000,2.014,0.84,0.18703341,3.949317,0.00914,1672444800,,1632960000,1.48,2021-12-15,672538570,3.056766,39004889088,2,,2004-11-16,2:1,,2021-12-09,,,,1642118400,0.63,,9.694581,1,,0.0255,16758344,,,
DXCM,,17.83,,0.22823,92.486,0.11067426,,3.55,,96922000,-,,,22.044,3316207,0.0342,,1609372800,0.97572,529300000,5.302,,0.18703341,19.742786,0.00457,1672444800,,1632960000,3.82,2021-12-15,96395747,0.757222,41350561792,2,,-,,,-,,-0.018,,1642118400,8.4,,122.59437,1,,0.0385,3114827,,,
FANG,,5.907,,0.08392,10.296,1.047971,,17.49,,181175008,-,,,63.515,6326816,0.0349,,1609372800,0.89484,441000000,2.561,0.5,0.18703341,2.0483334,0.0049900003,1672444800,,1632960000,2.46,2021-12-15,169738811,2.516979,31041738752,2,,-,,,2021-11-09,,,,1642118400,0.19,,7.4385304,1,,0.039300002,5910321,,,
DLR,,13.389,,0.15831,26.703,0.0028508902,,1.55,,283787008,-,,,58.279,9643879,0.034,,1609372800,1.00195,668046016,2.371,1.16,0.18703341,2.5614715,0.00135,1672444800,,1632960000,7.97,2021-12-15,283293666,0.219969,59129221120,2,,-,,,2021-12-14,,,,1642118400,2.53,,96.30968,1,,0.0401,11268573,,,
DFS,,2.457,,0.37897998,,0.3518901,,14.06,,288000000,-,,,46.556,5415142,0.0188,,1640908800,0.8701,5351000064,17.83,0.5,0.18703341,2.5100954,0.0053399997,1703980800,,1640908800,3.25,2021-12-15,286139520,1.69336,35327000576,2,,-,,,2021-11-23,,0.335,,1642118400,0.14,,8.311522,1,,0.021300001,6200854,,,
DISCA,,2.636,,0.10421,8.822,-0.3342318,,3.2,,169284992,-,,,17.714,34943607,0.0691,,1609372800,1.07051,1108999936,1.495,,0.18703341,1.5727673,0.02698,1672444800,,1632960000,3.93,2021-12-15,476172673,1.310694,31345362944,2,,2014-08-07,1957:1000,,-,,-0.48,,1642118400,2.47,,8.70625,1,,0.21440001,26420523,505944000,,
DISCK,,2.605,,0.10421,8.719,-0.23063731,,3.15,,330145984,-,,,17.714,17838236,0.0353,,1609372800,0.87084,1108999936,1.495,,0.18703341,1.5547025,0.0458,1672444800,,1632960000,4.02,2021-12-15,476172673,1.310694,30978455552,2,,2014-08-07,2:1,,-,,-0.48,,1642118400,0.5,,8.742857,1,,0.0634,14777600,505944000,,
DISH,,1.611,,0.14401,6.855,0.032541513,,2.8,,290366016,-,,,28.282,24575671,0.0465,,1609372800,0.85956,2590945024,4.159,1,0.18703341,1.1102468,0.14130001,1672444800,,1632960000,8.43,2021-12-15,251007118,2.098834,28990492672,2,,2000-03-23,2:1,,2012-12-12,,0.104,,1642118400,-0.34,,11.214286,1,,0.114300005,24551484,528801984,,
DG,,1.826,,0.07193,15.817,0.068137765,,11.21,,231706000,-,,,26.714,7495910,0.0324,,1611878400,0.94314003,2444541952,10.231,0.42,0.18703341,7.7899227,0.00224,1674950400,,1635465600,3.75,2021-12-15,229702243,0.499239,62058987520,2,,-,,,2022-01-03,,-0.152,,1642118400,3.11,,18.563784,1,,0.0324,8030408,,,
DLTR,,1.484,,0.05293,14.382,0.2792071,,7.55,,224956000,-,,,32.212,4469671,0.0199,,1611964800,0.97878,1376499968,5.942,,0.18703341,4.1456594,0.0134000005,1675036800,,1635552000,1.83,2021-12-15,221925901,0.746071,38587432960,2,,2012-06-27,2:1,,-,,-0.343,,1642118400,1.62,,17.687416,1,,0.0226,5871784,,,
D,,8.043,,0.19323999,17.689,0.10279727,,4.12,,809907968,-,,,30.27,7314934,0.009,,1609372800,0.68531996,2569999872,3.171,0.63,0.18703341,2.6782293,0.00263,1672444800,,1632960000,2.62,2021-12-15,808596356,0.441459,109422215168,2,,2007-11-20,2:1,,2021-12-02,,0.837,,1642118400,3.05,,19.677185,1,,0.0091,6605696,,,
DPZ,,4.93,,0.11592,25.353,0.22760022,,15.26,,36360300,-,,,-112.88,1342619,0.0369,,1609632000,0.93418,506679008,13.175,0.94,0.18703341,,0.00715,1672704000,,1631404800,2.9,2021-12-15,34024911,0.539787,21547565056,2,,-,,,2021-12-14,,0.215,,1642118400,2.76,,29.731977,1,,0.048,1212081,,,
DOV,,3.441,,0.14213,17.311,0.40436983,,9.44,,143984992,-,,,29.093,1258899,0.0087,,1640908800,0.85183996,1123817984,7.74,0.5,0.18703341,5.8754683,0.00904,1703980800,,1640908800,1.86,2021-12-15,143228813,1.381652,27206801408,2,,2018-05-09,1238:1000,,2021-11-29,,0.992,,1642118400,1.36,,18.107521,1,,0.0099,983444,,,
DOW,,1.076,,0.11481,5.398,0.116711855,,6.5,,735214976,-,,,24.707,14110833,0.0191,,1640908800,0.67585,6311000064,8.38,0.7,0.18703341,2.4980774,0.00141,1703980800,,1640908800,2.67,2021-12-15,734024260,1.617021,59164659712,2,,-,,,2021-11-29,,0.405,,1642118400,0.16,,9.495385,1,,0.0191,15046088,,,
DTE,,2.897,,0.0619,13.59,0.17559528,,5.92,,193727008,-,,,44.222,2033977,0.0105,,1609372800,0.73539,1018000000,4.515,0.885,0.18703341,2.7181041,0.00587,1672444800,,1632960000,2.45,2021-12-15,192369250,0.687785,40988577792,2,,2021-07-01,1175:1000,,2021-12-17,,-0.947,,1642118400,3.33,,20.304052,1,,0.0136,1740235,,,
DUK,,6.204,,0.12795,13.154,0.107720256,,5.47,,769342976,-,,,61.567,5572524,0.0072000003,,1609372800,0.63034,2983000064,3.91,0.985,0.18703341,1.7052966,0.00106,1672444800,,1632960000,2.08,2021-12-15,768181664,0.334515,150260219904,2,,2012-07-03,1:3,,2021-11-10,,0.077,,1642118400,5.42,,19.193785,1,,0.0072000003,5317623,,,
DRE,,23.036,,0.76245004,38.829,0.39911962,,0.78,,380849984,-,,,15.835,4834557,0.0127,,1640908800,0.98261,851539008,2.246,0.28,0.18703341,3.7025578,0.00159,1703980800,,1640908800,3.02,2021-12-15,380900375,0.64521,25768153088,2,,1997-08-26,2:1,,2021-11-15,,-0.39,,1642118400,13.68,,75.16667,1,,0.020399999,5687494,,,
DD,,2.269,,0.29224002,9.001,0.039364815,,4.94,,518104000,-,,,51.405,5615358,0.0108,,1609372800,0.73227996,1483000064,10.821,0.3,0.18703341,1.5319521,0.00079,1672444800,,1632960000,2.49,2021-12-15,517036548,1.26964,50351108096,2,,2019-06-03,4725:10000,,2021-11-29,,,,1642118400,1.25,,15.941296,1,,0.012200001,5904780,,,
DXC,,0.697,,0.02316,6.242,0.20179546,,4.3,,252239008,-,,,18.919,9631910,0.0382,,1617148800,0.87749,390000000,1.52,0.21,0.18703341,1.6190072,0.00935,1680220800,,1632960000,6.1,2021-12-15,249678592,2.398378,11740433408,2,,2018-06-01,1156:1000,,2020-03-24,,,,1642118400,0.3,,7.1232553,1,,0.043,9795145,,,
